Country,Ranking Score
SINGAPORE,0.863906194
MALTA,0.813542409
SWITZERLAND,0.800885834
ESTONIA,0.796134017
CANADA,0.783324166
LUXEMBOURG,0.78226789
USA,0.778138883
NETHERLANDS,0.772865363
LITHUANIA,0.761493311
CHINA ,0.759675035
IRELAND,0.759445176
FINLAND,0.754264288
UK,0.742358679
SLOVENIA,0.741686755
SOUTH AFRICA,0.739357205
GERMANY,0.733747414
AUSTRIA,0.730471128
SWEDEN,0.730321872
MALAYSIA,0.727725373
NIGERIA,0.725680168
AUSTRALIA,0.72329213
HONG KONG,0.722000151
CYPRUS,0.721572616
BRAZIL,0.719404302
LATVIA,0.718619141
FRANCE,0.714499179
ISRAEL,0.714382265
NORWAY,0.711903148
HUNGARY,0.711300867
NEW ZEALAND,0.709495021
COLOMBIA,0.708907079
INDIA,0.707954722
ROMANIA,0.707332119
PHILIPPINES,0.707149351
POLAND,0.706937785
VIETNAM,0.706391619
SPAIN,0.705977331
GREECE,0.705427242
GHANA,0.702109252
ICELAND,0.701666133
PORTUGAL,0.701078544
PERU,0.698258628
RUSSIA,0.697896897
ARGENTINA,0.696879158
ITALY,0.696384606
BANGLADESH,0.692175963
CZECH REPUBLIC,0.689026243
BELGIUM,0.688829241
KOREA(REPUBLIC),0.685663611
UAE,0.683109021
MEXICO,0.681782414
JAPAN,0.680196139
DENMARK,0.675886813
BULGARIA,0.671863214
ALBANIA,0.670621226
NORTH MACEDONIA,0.665669346
CROATIA,0.664739
ETHIOPIA,0.664213549
BOTSWANA,0.662109739
BRUNEI,0.659464759
GEORGIA,0.658854172
ZIMBABWE,0.657160969
UKRAINE,0.656845968
BOSNIA,0.656150627
LIECHTESTAIN,0.654877855
CAMEROON,0.652905724
THAILAND,0.652126506
NAMIBIA,0.649255035
KENYA,0.649156626
UGANDA,0.648731375
ZAMBIA,0.648491319
URUGUAY,0.648029683
CHILE,0.64729318
INDONESIA,0.646200813
PAKISTAN,0.643546981
SLOVAKIA,0.64066642
VENEZUELA,0.639660797
LEBANON,0.638864492
SEYCHELLES,0.638090831
BENIN,0.63726308
BELARUS,0.635547645
NEPAL,0.634958011
PANAMA,0.63422222
EGYPT,0.633876578
SERBIA,0.633769082
TOGO,0.633302898
PARAGUAY,0.632608095
CAMBODIA,0.63017392
MONTENEGRO,0.62977556
MONGOLIA,0.628259908
BURKINA FASO,0.627511843
SAUDI ARABIA,0.626611462
IRAN,0.624968967
ARMENIA,0.624891482
DOMINICAN REPUBLIC,0.622682276
TURKEY,0.621376158
SURINAME,0.620967663
COSTA RICA,0.620367073
JAMAICA,0.619075649
MAURITIUS,0.615587164
BAHRAIN,0.614645295
MADAGASCAR,0.614378315
ANTIGUA and BARBUDA,0.613342204
FIJI,0.613197728
RWANDA,0.611700146
MALAWI,0.6073339
LAOS,0.606815757
UZBEKISTAN,0.606723859
NICARAGUA,0.605751762
SENEGAL,0.604370753
JORDAN,0.603483327
QATAR,0.602287193
ALGERIA,0.600077486
KYRGYZSTAN,0.598586723
AZERBAIJAN,0.597974025
MOLDOVA,0.595900748
BARBADOS,0.595856366
EL SALVADOR,0.594878836
TANZANIA,0.594722205
OMAN,0.594582181
MONACO,0.594409146
MYANMAR,0.593747077
MOROCCO,0.593481162
HONDURAS,0.591965836
ECUADOR,0.589787765
KAZAKHSTAN,0.588637647
TUNISIA,0.586794483
BAHAMAS,0.586626324
MOZAMBIQUE,0.586452319
GUATEMALA,0.586145126
BOLIVIA,0.586015656
KUWAIT,0.583956274
ESWATINI,0.578285137
BHUTAN,0.577911723
ANDORRA,0.569529971
MALDIVES,0.568199384
GRENADA,0.566794209
SAN MARINO,0.566781763
CAPE VERDE,0.565923917
BELIZE,0.563475833
BURUNDI,0.561288874
ANGOLA,0.556568902
DOMINICA,0.555996356
AFGHANISTAN,0.555464095
SRI LANKA,0.555110171
GABON,0.554062088
HAITI,0.545422453
TAIWAN,0.540418808
GAMBIA,0.539124124
LESOTHO,0.536856259
LIBYA,0.534609373
SYRIA,0.529938408
GIBRALTAR,0.52679835
EQUATORIAL GUINEA,0.526387055
SAMOA,0.524313273
MALI,0.523785608
MAURITANIA,0.520792696
TAJIKISTAN,0.520724772
CONGO REPUBLIC,0.520717944
CUBA,0.518901019
MICRONESIA FEDERATED STATES OF,0.515772612
GUYANA,0.515124579
DJIBOUTI,0.513217326
KIRIBATI,0.512731688
GUINEA,0.510521053
CONGO DEMOCRATIC REPUBLIC,0.509840987
SAINT KITTS AND NEVIS,0.507136773
LIBERIA,0.505964105
PAPUA NEW GUINEA,0.504532683
SUDAN,0.504516091
IRAQ,0.501054668
COMOROS,0.497896954
GUINEA-BISSAU,0.48498745
TONGA,0.484276735
YEMEN,0.482413707
SAO TOME AND PRINCIPE,0.478722139
VANUATU,0.476834563
NIGER ,0.476087217
MARSHALL ISLANDS,0.472376853
SIERRA LEONE,0.471079913
SAINT VINCENT AND THE GRENADINES,0.465650657
SAINT LUCIA,0.461677345
BERMUDAS,0.460712426
SUDAN SOUTH,0.449028128
SOMALIA,0.446876628
SOLOMON ISLANDS,0.433751458
NAURU,0.433696994
TURKMENISTAN,0.422352597
TUVALU,0.416702325
ERITREA,0.404381045
